id,section,question,options,correct_index,source
1,Derecho Aéreo y Regulaciones Aeronáuticas,"La seguridad operacional en el espacio aéreo y la seguridad de las personas en tierra y su privacidad, son aspectos relevantes que se tienen en cuenta para el establecimiento de las Normas para aeronaves no tripuladas a nivel mundial. Este postulado es:","[""Verdadero"", ""Falso""]",0,"RAC 100 – Sección ""Considerando"""
2,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué requisitos son básicos y se requiere cumplir para volar un UAS en el espacio aéreo de un país?,"[""Ningún permiso ni licencia, ya que son no tripulados."", ""Un registro del UAS y el cumplimiento de las regulaciones específicas."", ""Sólo se pueden operar en áreas deshabitadas, sin regulaciones adicionales.""]",1,"RAC 100 – Sección ""Considerando"""
3,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es uno de los propósitos principales de las regulaciones de UAS?,"[""Restringir el acceso público a la tecnología de UAS."", ""Garantizar la seguridad de las operaciones y proteger la integridad del espacio aéreo."", ""Facilitar la adquisición de UAS por parte de particulares sin restricciones.""]",1,"RAC 100 – Sección ""Considerando"""
4,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es la sigla del Organismo de Autoridad de la Aviación Civil a nivel mundial?,"[""FAA"", ""EASA"", ""OACI""]",2,OACI – referencia Cancillería
5,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es la sigla del Organismo de Autoridad de la Aviación Civil en Colombia?,"[""AAAE"", ""UAEAC"", ""CIAC""]",1,Aerocivil – institucional
6,Derecho Aéreo y Regulaciones Aeronáuticas,La normatividad aeronáutica válida en Colombia se encuentra compilada en:,"[""NAN – Normatividad Aeronáutica Nacional."", ""RAC – Reglamentos Aeronáuticos de Colombia."", ""LAR – Reglamentos Aeronáuticos Latinoamericanos.""]",1,RAC 11 – 11.005
7,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes normas aplicables en Colombia regulan la actividad aérea con aeronaves no tripuladas?,"[""RAC 100"", ""RAC 61"", ""Parte 101 y 102 de la OACI""]",0,RAC 100
8,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es el objetivo principal del marco normativo de la aviación mundial?,"[""Lograr y conservar el nivel uniforme de seguridad operacional más elevado posible.""]",0,Circular 328/AN190 OACI; RAC 100 Art. 100.210(e)
9,Derecho Aéreo y Regulaciones Aeronáuticas,"El Objetivo del marco normativo emitido por la OACI en sus 19 Anexos, radica específicamente en dar pautas de la reglamentación internacional aplicable a los estados signatarios, los cuales tienen que cumplir de forma obligatoria al pie de la letra. Este postulado es:","[""Verdadero"", ""Falso""]",1,OACI SARPs – notificación de diferencias
10,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es el objetivo general y principal de los RAC?,"[""Dar pautas para el desarrollo de toda la aviación en Colombia."", ""Regular la actividad aérea civil en el país y proporcionar una base sólida y legal en las actuaciones administrativas y operativas propias de la aviación.""]",1,RAC 1 Art. 1.1.3
11,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué se entiende por la Sigla SARP’s?,"[""Recopilación de Procedimientos, Normas y Métodos Ordenados para la Aviación Civil Internacional."", ""Énfasis para la aplicación de Procedimientos, Normas y Métodos Asistidos para la Aviación Civil."", ""Estudio de Procedimientos y Redacción de Normas y Métodos Recomendados para la Aviación Civil Internacional.""]",2,RAC 100 – 100.005 Definiciones
12,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál es la relación entre las SARP´s de la OACI y las regulaciones nacionales de aviación?,"[""Las SARP’s reemplazan por completo las regulaciones nacionales."", ""Las SARP’s son recomendaciones y los estados pueden adoptarlas de manera voluntaria."", ""Las SARP’s se aplican sólo a las aeronaves militares.""]",1,Skybrary SARPs (citado en el banco)
13,Derecho Aéreo y Regulaciones Aeronáuticas,"La Reglamentación Aeronáutica Colombiana (RAC-100) se realizó en concordancia con los SARP’s emitidos por la OACI, y está determinada para mantenimiento y preservación de la seguridad operacional con los más altos estándares. Este postulado es:","[""Verdadero"", ""Falso""]",0,RAC 91 – defs/abrevs (contexto banco)
14,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes legislaciones colombianas no requiere ser observada para el desarrollo de la Aviación No Tripulada en el país?,"[""Código Nacional de Policía y Convivencia: Ley 1801/2016."", ""Código Nacional de Tránsito: Ley 769 de 2002."", ""Código de Comercio de Colombia: Decreto 410/1971.""]",1,Contexto general del banco
15,Derecho Aéreo y Regulaciones Aeronáuticas,"El uso indebido o irresponsable de aeronaves no tripuladas, podrá ser sancionado únicamente por la Autoridad Aeronáutica competente. Este postulado es:","[""Verdadero"", ""Falso""]",1,RAC 13; Ley 1801/2016
16,Derecho Aéreo y Regulaciones Aeronáuticas,"¿Qué aspecto importante relacionado con la aviación, debemos conocer sobre el Código del Comercio?","[""Los detalles de cómo regular nuestra actividad económica."", ""Las cauciones que se deben formalizar para la actividad aérea comercial con aeronaves de peso inferior a 1000 kilogramos."", ""Los deberes y Obligaciones contractuales como Explotador UAS.""]",1,Código de Comercio (Decreto 410/1971) Arts. 1827 y 1835
17,Derecho Aéreo y Regulaciones Aeronáuticas,El Código del Comercio indica que solamente aeronaves con peso superior a 1000 kg deben constituir una caución...,"[""Verdadero"", ""Falso""]",1,Código de Comercio (Decreto 410/1971) Arts. 1827 y 1835
18,Derecho Aéreo y Regulaciones Aeronáuticas,"El Código del Comercio determina que para aeronaves con peso máximo hasta de 1000 kg, se debe establecer una caución equivalente a:","[""30.300 kilogramos de oro puro."", ""33.333 gramos de oro puro."", ""33.333 libras de oro puro.""]",1,Código de Comercio (Decreto 410/1971) Arts. 1827 y 1835
19,Derecho Aéreo y Regulaciones Aeronáuticas,"En el proceso de autorización de solicitudes de vuelo UAS, la Aerocivil acepta pólizas RCE de aseguradoras internacionales por periodos inferiores a un año. Este postulado es:","[""Verdadero"", ""Falso""]",0,Circular Informativa UAEAC 4000-09-11 de 2022
20,Derecho Aéreo y Regulaciones Aeronáuticas,"¿Qué condiciones o alcances debe tener una póliza internacional, para que sea aceptada por la Aerocivil?","[""Debe indicar claramente que tiene cobertura en todo el territorio colombiano y que el beneficiario con la cobertura sea el mismo Explotador UAS inscrito."", ""Indiquen las Horas y días de la cobertura.""]",0,Circular Informativa UAEAC 4000-09-11 de 2022
21,Derecho Aéreo y Regulaciones Aeronáuticas,Para vuelos realizados con aeronaves no tripuladas en la categoría “abierta” la Aerocivil ordena póliza RCE obligatoria. Este postulado es:,"[""Verdadero"", ""Falso""]",1,RAC 100 Art. 100.205
22,Derecho Aéreo y Regulaciones Aeronáuticas,Las autoridades competentes podrán suspender e incautar una aeronave no tripulada cuando se estén infringiendo normas legales. Este postulado es:,"[""Verdadero"", ""Falso""]",0,Ley 1801/2016 (Arts. 146 y 149)
23,Derecho Aéreo y Regulaciones Aeronáuticas,¿Cuál de las siguientes opciones es la más acertada en relación con la privacidad al operar un UAS?,"[""No existe ninguna consideración de privacidad."", ""Debe obtenerse consentimiento por escrito de todas las personas cercanas."", ""Respetar la privacidad de las personas y evitar la vigilancia no autorizada.""]",2,Ley 1801/2016 Art. 32
24,Derecho Aéreo y Regulaciones Aeronáuticas,Un piloto de UAS que realice vuelos AID en sitio de desastre debe ostentar la capacitación requerida. Este postulado es:,"[""Verdadero"", ""Falso""]",0,Ley 1523/2012 Arts. 4 y 8
25,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué es el PMU?,"[""Puesto de Mando Unificado. Hace referencia al lugar físico donde se concentra e implementa la coordinación para asuntos operacionales de un determinado incidente o evento."", ""Es la jerarquía de organismos estatales convocados para coordinar un incidente.""]",0,RAC 100 – 100.005 Definiciones
26,Derecho Aéreo y Regulaciones Aeronáuticas,"De acuerdo con la Ley 356/1994, toda empresa de vigilancia que realice actividades con UAS requiere:","[""Pedir permiso de operación aérea a la Superintendencia de seguridad y vigilancia privada."", ""Tener un permiso de la Superintendencia de seguridad y vigilancia privada para el empleo de facilidades tecnológicas aprobadas."", ""Que el gerente General haya realizado un curso de operación de UAS.""]",1,Ley 356/1994 Art. 5
27,Derecho Aéreo y Regulaciones Aeronáuticas,Una empresa de seguridad y vigilancia privada que emplee UAS debe tener permiso expedido por la Superintendencia. Este postulado es:,"[""Verdadero"", ""Falso""]",0,Ley 356/1994 Art. 52
28,Derecho Aéreo y Regulaciones Aeronáuticas,A los pilotos UAS que violen o incumplan normas establecidas en los RAC les aplica el RAC 13. Este postulado es:,"[""Verdadero"", ""Falso""]",0,RAC 100 C–100.235; RAC 13
29,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué significa la Sigla “OACI”?,"[""Organización Internacional de Aviación Civil."", ""Conglomerado de las Naciones para la Aviación Civil."", ""Convención de Aviación Civil Internacional.""]",0,Cancillería – OACI
30,Derecho Aéreo y Regulaciones Aeronáuticas,La OACI tiene potestad sobre los Estados miembros para realizar acciones punitivas por incumplimiento a las normas. Este postulado es:,"[""Verdadero"", ""Falso""]",1,Convenio de Chicago Doc 7300/9 Art. 38
31,Derecho Aéreo y Regulaciones Aeronáuticas,"De acuerdo al RAC 91, es adecuado emplear alcohol y alucinógenos en actividades de vuelo. Este postulado es:","[""Verdadero"", ""Falso""]",1,ANEXO 2 OACI; RAC 91
32,Derecho Aéreo y Regulaciones Aeronáuticas,"En una aeronave no tripulada, no es permitido realizar modificaciones de diseño que afecten centro de gravedad o características de vuelo sin permiso del fabricante. Este postulado es:","[""Verdadero"", ""Falso""]",0,RAC 100.415
33,Derecho Aéreo y Regulaciones Aeronáuticas,Los documentos OACI Partes 101 y 102 (2020) sugieren modelo regulatorio para UAS (Categoría abierta y específica). Este postulado es:,"[""Verdadero"", ""Falso""]",0,OACI Partes 101/102 (2020)
34,Derecho Aéreo y Regulaciones Aeronáuticas,¿Qué significa la sigla UAEAC?,"[""Agencia Administrativa Estatal de Aerodinámica Civil"", ""Unidad Administrativa Especial de Aeronáutica Civil."", ""Ninguna de las anteriores.""]",1,Aerocivil – guía institucional
